age,annual_income,total_debt,credit_history_years,late_payments,credit_utilization,existing_loans,savings,employment_years,debt_to_income,creditworthy
46,39380.98,19909.91,1.63,2,0.738,2,16312.16,5.89,0.506,0
37,90743.12,15522.23,11.36,0,0.459,1,23527.22,5.98,0.171,1
60,58346.83,24725.78,29.38,1,0.795,4,16563.16,17.17,0.424,1
53,47262.81,350.34,12.91,3,0.528,0,0.0,21.48,0.007,1
29,61401.14,19694.03,15.31,0,0.053,3,17632.93,9.68,0.321,1
63,70383.15,31421.49,27.34,2,0.15,6,17076.33,21.89,0.446,1
59,63062.74,24591.79,21.66,1,0.264,4,21004.75,8.5,0.39,1
49,86535.37,26301.72,17.67,2,0.49,2,12464.04,4.93,0.304,1
62,68447.37,37168.47,24.04,0,0.099,2,4862.53,8.24,0.543,1
46,53753.28,17206.28,26.0,0,0.416,1,21878.07,15.23,0.32,1
55,68826.23,10162.9,13.98,2,0.584,2,0.0,9.18,0.148,1
45,70992.02,32274.18,14.52,0,0.294,2,31505.83,16.82,0.455,1
44,31479.73,32053.45,11.89,2,0.407,2,11222.98,5.92,1.018,0
33,85287.23,24699.5,29.02,1,0.459,2,16946.34,15.0,0.29,1
27,53380.11,16075.55,21.07,2,0.46,2,20702.7,8.69,0.301,1
56,53942.89,18016.56,2.96,2,0.291,0,21088.26,11.4,0.334,1
65,76530.27,2678.72,25.96,2,0.556,1,0.0,13.94,0.035,0
40,76437.63,31355.36,14.68,2,0.286,0,23889.04,17.16,0.41,1
21,44581.7,30931.82,2.53,0,0.404,1,17637.85,3.0,0.694,1
28,77663.84,2259.81,16.72,1,0.353,2,6376.86,10.0,0.029,1
36,47670.14,28411.59,12.81,2,0.302,1,5004.0,18.0,0.596,1
34,100030.61,22849.22,26.39,2,0.42,1,9991.36,5.85,0.228,1
32,41779.73,5736.31,6.52,2,0.643,2,0.0,14.0,0.137,1
43,65268.5,3528.0,24.88,1,0.101,2,34667.21,16.62,0.054,1
35,42795.61,22481.92,16.95,1,0.349,2,31833.82,11.31,0.525,1
48,108899.3,13227.55,2.11,0,0.143,0,19420.4,3.94,0.121,1
54,32767.94,39839.39,29.17,2,0.1,1,11319.22,13.33,1.216,1
22,71535.98,29431.18,15.62,1,0.216,2,11634.7,4.0,0.411,1
52,43831.97,23684.32,9.08,1,0.685,3,23096.79,10.74,0.54,1
43,52209.63,24276.95,14.35,0,0.422,1,35093.92,10.22,0.465,1
42,69977.83,33970.41,25.81,2,0.29,3,7155.24,18.0,0.485,1
45,86940.86,28158.22,9.49,1,0.255,2,588.97,4.81,0.324,0
42,95714.72,23997.2,6.18,1,0.486,0,32571.69,20.55,0.251,1
42,26187.14,6236.87,4.31,2,0.381,2,0.0,8.15,0.238,1
62,65890.53,54743.36,9.29,4,0.29,1,1897.63,11.1,0.831,0
26,92108.86,4761.81,23.51,1,0.137,2,11037.71,8.0,0.052,1
35,22923.16,14249.49,14.41,2,0.199,2,0.0,15.63,0.622,1
63,66916.44,0.0,7.21,1,0.671,0,27345.79,7.7,0.0,1
57,59954.16,24465.58,5.4,3,0.419,0,24282.86,9.66,0.408,0
53,69119.92,19813.33,10.32,2,0.225,2,7102.48,7.64,0.287,1
28,43009.31,27183.32,28.23,3,0.461,2,29355.37,10.0,0.632,0
64,28416.39,0.0,10.62,1,0.556,2,31391.51,8.32,0.0,1
64,17911.66,31354.87,29.65,2,0.255,2,12641.95,18.14,1.751,1
25,81480.45,8310.78,14.81,0,0.314,4,8591.98,7.0,0.102,1
59,84289.08,16211.94,5.79,2,0.346,1,41115.22,3.64,0.192,1
24,66659.08,29178.86,26.79,3,0.177,1,22653.94,6.0,0.438,1
26,48248.74,21135.2,14.08,1,0.416,1,17075.9,5.54,0.438,1
65,24292.99,21983.31,21.44,1,0.193,3,30362.55,9.76,0.905,0
52,72393.6,27590.15,29.52,2,0.113,0,17623.17,12.9,0.381,1
50,35782.86,23145.49,1.98,0,0.192,2,7932.55,12.67,0.647,1
55,44351.43,13906.71,3.35,2,0.403,1,14961.92,18.86,0.314,1
60,47095.59,16002.37,21.75,2,0.215,2,26463.85,4.73,0.34,1
36,55654.23,20542.54,8.81,0,0.321,0,0.0,18.0,0.369,1
33,43301.11,7253.33,5.94,3,0.352,2,10543.63,8.57,0.168,1
62,60736.09,29952.1,1.66,4,0.145,4,30596.69,7.51,0.493,1
50,46320.0,21463.85,1.14,0,0.83,2,7857.58,17.13,0.463,1
39,75430.21,18897.32,23.35,2,0.291,1,32553.3,20.14,0.251,1
37,82683.38,32309.96,4.47,2,0.533,3,30976.93,9.46,0.391,0
39,62387.94,16558.64,14.3,2,0.334,2,13213.65,18.67,0.265,1
48,70177.78,15810.95,18.37,2,0.559,4,7177.53,22.09,0.225,1
46,106592.83,12184.45,13.14,3,0.563,0,10551.69,19.17,0.114,1
57,34202.73,22116.8,1.3,0,0.409,1,45975.37,0.85,0.647,1
46,32863.7,21701.4,23.61,0,0.098,4,36493.09,20.68,0.66,1
43,75289.95,10004.59,0.81,1,0.686,0,15504.69,19.36,0.133,1
29,102823.94,15867.67,22.98,3,0.22,1,6702.16,11.0,0.154,1
32,54269.03,10084.77,26.85,1,0.146,1,15404.49,14.0,0.186,1
21,97990.34,9541.58,13.27,1,0.539,3,16925.92,3.0,0.097,1
21,62121.54,0.0,16.3,2,0.395,1,0.0,3.0,0.0,1
54,45020.48,15229.08,14.57,0,0.374,1,14960.5,1.68,0.338,1
52,38204.77,0.0,11.98,2,0.246,2,29868.85,11.52,0.0,1
45,73847.1,12446.21,26.68,4,0.6,3,0.0,1.16,0.169,0
60,39870.9,10647.66,26.87,2,0.166,0,23919.01,7.36,0.267,1
65,61788.09,30622.74,10.41,3,0.383,1,30497.58,14.67,0.496,1
21,94836.23,5820.78,18.64,1,0.145,3,7273.31,3.0,0.061,1
36,53250.83,8865.76,27.84,4,0.539,0,34330.11,17.13,0.166,1
59,88908.21,13421.71,28.88,1,0.783,1,5715.96,20.55,0.151,1
25,33280.04,11038.28,15.51,2,0.466,1,19292.99,7.0,0.332,1
42,48254.0,34431.06,13.86,1,0.195,0,10318.73,22.5,0.714,1
49,29042.83,4337.19,8.72,1,0.538,2,10316.04,2.0,0.149,1
23,61605.93,13447.15,28.79,4,0.289,1,6592.41,5.0,0.218,1
32,77161.72,21984.78,4.71,0,0.228,3,22382.91,14.0,0.285,0
46,61654.12,28574.2,17.6,0,0.316,2,24185.67,8.05,0.463,1
36,86995.1,13437.1,8.84,2,0.102,3,13226.93,7.47,0.154,1
57,43518.06,0.0,8.73,2,0.689,1,0.0,7.63,0.0,1
42,64957.54,16198.75,12.45,1,0.341,2,18838.04,20.28,0.249,1
49,48395.67,34224.34,29.96,2,0.423,2,19064.17,20.79,0.707,1
34,67956.88,21386.25,2.12,2,0.69,2,11399.42,8.24,0.315,1
48,71082.19,20837.01,17.57,3,0.66,3,36406.78,14.81,0.293,0
25,72812.71,5243.78,2.94,3,0.256,1,0.0,3.47,0.072,1
50,36446.92,4011.94,5.06,1,0.377,4,0.0,11.72,0.11,1
25,40425.59,18216.5,13.47,1,0.217,2,5229.98,7.0,0.451,1
32,44505.67,883.45,15.56,1,0.594,2,22525.09,3.97,0.02,1
36,54744.62,27376.35,8.13,2,0.663,1,1329.86,18.0,0.5,0
46,61918.1,7840.25,9.84,1,0.107,2,2228.35,20.61,0.127,1
46,75577.96,17704.11,3.07,4,0.7,6,25412.26,24.31,0.234,0
41,41341.83,0.0,9.44,0,0.176,1,19550.58,4.49,0.0,1
59,24777.58,13274.38,29.01,4,0.325,2,18524.73,5.34,0.536,1
56,107426.35,3769.67,28.37,4,0.125,0,23377.15,0.42,0.035,0
53,35108.03,0.0,10.38,2,0.446,5,8897.68,18.12,0.0,1
50,78399.12,24502.11,17.34,2,0.174,3,9452.19,16.1,0.313,1
57,60687.87,37693.91,27.33,0,0.282,5,23717.35,4.45,0.621,1
43,65528.72,31553.68,0.68,1,0.345,2,0.0,19.78,0.482,1
30,59965.89,26180.29,24.42,1,0.076,0,0.0,7.48,0.437,1
25,51533.48,13030.55,28.48,0,0.465,0,8800.59,3.37,0.253,1
56,70207.39,27670.68,3.19,2,0.05,1,25170.48,10.56,0.394,1
54,50351.08,32686.24,5.26,2,0.269,1,17066.72,2.27,0.649,1
51,85658.66,19641.86,28.84,0,0.508,3,24287.5,6.58,0.229,1
30,72505.7,3787.68,16.36,0,0.566,1,0.0,9.28,0.052,1
39,73191.07,12007.39,0.92,5,0.276,2,17785.96,21.0,0.164,1
52,48843.29,38432.36,8.1,1,0.162,3,21846.37,19.81,0.787,1
21,54800.2,17103.07,13.77,3,0.403,1,0.0,3.0,0.312,1
25,33865.92,0.0,20.94,2,0.483,1,24344.69,7.0,0.0,1
65,52233.65,372.92,22.13,3,0.47,6,12661.77,14.22,0.007,1
24,37195.33,12906.62,29.86,3,0.351,0,50856.04,6.0,0.347,1
36,88887.51,30429.9,8.98,2,0.606,2,0.0,18.0,0.342,1
44,61111.79,14722.53,16.38,0,0.297,3,30429.37,17.09,0.241,1
36,63750.94,30653.18,16.23,3,0.315,2,9270.1,15.48,0.481,1
22,55046.78,11686.05,12.47,0,0.303,1,0.0,4.0,0.212,1
48,64346.74,0.0,5.49,3,0.454,0,7676.54,17.07,0.0,1
52,114227.31,12101.27,29.33,1,0.335,1,17329.75,9.61,0.106,1
47,53396.91,22139.34,25.67,2,0.697,5,26449.6,21.73,0.415,1
40,45690.91,21143.4,15.2,4,0.646,1,34663.57,4.06,0.463,1
44,71653.25,2938.71,18.3,3,0.381,2,31062.72,22.1,0.041,1
32,15000.0,13785.65,7.2,1,0.092,3,2415.42,8.56,0.919,0
55,61407.05,50216.09,16.54,0,0.671,1,27561.98,3.13,0.818,1
53,51822.32,3200.77,21.0,4,0.508,1,18695.42,15.0,0.062,1
53,38169.11,25928.68,15.7,1,0.12,1,6144.76,9.4,0.679,1
63,71170.67,0.0,29.71,1,0.546,1,11457.07,20.39,0.0,1
57,61187.75,28365.5,18.53,3,0.088,0,5481.89,10.77,0.464,1
32,20347.0,7292.1,11.44,3,0.119,1,14445.11,14.0,0.358,0
23,45776.35,22825.06,23.28,2,0.309,1,5244.11,5.0,0.499,1
21,15000.0,2501.69,5.53,0,0.906,2,1664.07,3.0,0.167,0
53,66451.92,21490.23,11.84,3,0.217,1,19749.43,9.7,0.323,1
60,66232.59,7096.2,10.74,0,0.667,3,21544.77,15.17,0.107,1
30,42547.8,9419.42,13.24,0,0.625,2,11748.84,12.0,0.221,1
63,71882.48,23303.83,23.56,1,0.203,3,30411.82,14.46,0.324,1
64,31785.03,12835.37,14.78,2,0.453,2,10874.83,24.7,0.404,0
49,38736.63,22564.58,23.92,1,0.681,4,10366.71,17.28,0.583,1
33,69178.19,15709.9,17.51,1,0.504,0,21925.87,15.0,0.227,1
32,44849.33,18809.92,10.59,2,0.135,3,12410.89,2.95,0.419,1
51,58621.55,23341.04,24.39,1,0.093,4,15017.57,1.53,0.398,1
22,47599.72,13799.78,7.53,2,0.586,2,0.0,4.0,0.29,1
55,50959.51,6047.4,7.12,0,0.255,5,14200.49,3.41,0.119,1
43,51921.07,11612.25,15.38,1,0.426,2,0.0,13.15,0.224,1
37,44451.35,32341.67,8.2,1,0.258,3,0.0,12.97,0.728,0
46,66653.89,19394.08,0.77,3,0.281,0,0.0,14.38,0.291,1
28,46185.57,7861.22,19.62,1,0.299,3,1489.0,10.0,0.17,1
49,60345.11,22818.73,15.58,0,0.219,0,7413.75,24.28,0.378,1
46,43967.9,23619.79,13.64,3,0.472,1,8162.09,21.96,0.537,1
30,26245.43,24239.99,29.03,1,0.523,1,21971.3,2.96,0.924,0
46,80073.58,6265.95,17.35,0,0.205,1,16668.65,8.46,0.078,1
54,70989.59,9811.31,25.97,3,0.214,2,0.0,6.4,0.138,1
61,110351.01,9878.05,4.61,1,0.615,5,14999.54,4.42,0.09,1
27,37032.6,13672.23,17.29,0,0.194,3,17819.06,9.0,0.369,0
24,55402.87,24467.03,26.11,3,0.452,3,10057.2,6.0,0.442,1
65,57172.84,21554.22,17.7,1,0.671,2,13269.37,5.68,0.377,0
31,81766.13,22502.6,21.68,1,0.171,6,16283.72,13.0,0.275,1
49,48843.63,34248.23,11.48,2,0.257,4,23175.2,18.32,0.701,0
56,34237.08,26266.69,3.23,1,0.252,0,0.0,0.52,0.767,0
45,86571.8,16298.38,14.01,2,0.296,1,11068.2,9.89,0.188,0
41,53033.7,3793.38,12.14,3,0.392,1,32100.03,22.25,0.072,1
56,79330.16,9425.44,26.08,1,0.243,2,30999.94,13.01,0.119,1
30,76768.36,14859.54,7.7,1,0.473,1,24211.24,8.69,0.194,1
57,59342.41,27949.56,29.02,0,0.497,0,20441.9,6.34,0.471,1
29,56165.1,17672.02,28.77,0,0.355,0,33855.62,6.08,0.315,1
44,51385.57,10125.65,7.81,2,0.211,1,37014.18,2.49,0.197,1
55,59665.75,9205.29,10.77,0,0.598,1,12451.04,20.43,0.154,1
55,78988.2,17165.06,26.92,2,0.343,0,2366.81,2.17,0.217,1
56,42478.32,28679.85,29.02,0,0.113,1,10756.49,7.31,0.675,1
38,62394.6,37092.23,13.58,1,0.184,2,51160.35,1.14,0.594,1
59,35390.11,15530.78,9.97,0,0.318,2,0.0,19.53,0.439,1
52,38129.66,17463.08,16.02,1,0.275,2,8353.53,0.98,0.458,1
44,59319.34,3432.7,20.79,1,0.205,0,0.0,7.71,0.058,1
43,16876.52,41270.31,8.57,4,0.309,2,15497.17,14.33,2.445,0
52,105332.29,1187.97,22.23,2,0.18,3,0.0,10.24,0.011,1
57,33752.68,32059.95,2.02,3,0.384,1,12694.99,7.06,0.95,0
32,59118.05,13615.97,1.95,0,0.296,1,0.0,6.88,0.23,1
33,85700.79,10807.6,11.9,1,0.402,2,21411.45,15.0,0.126,1
43,41016.08,4679.96,10.93,2,0.369,3,28668.14,24.35,0.114,1
45,15000.0,46920.58,9.81,3,0.508,1,9392.68,8.7,3.128,0
55,50211.19,20657.9,14.99,3,0.409,3,12378.44,0.98,0.411,0
61,40753.95,18255.37,9.96,4,0.447,3,12039.11,0.91,0.448,1
50,15000.0,28640.79,6.17,0,0.426,1,16170.93,18.98,1.909,0
37,66267.58,10190.01,9.63,0,0.423,4,13541.96,13.81,0.154,1
40,64556.06,18022.15,29.26,3,0.457,2,23217.4,19.59,0.279,0
45,85131.18,18676.04,12.63,2,0.355,2,28796.47,17.44,0.219,1
42,35341.91,11854.25,13.62,1,0.748,1,4231.15,22.69,0.335,1
33,24819.0,32395.66,17.51,1,0.385,1,10288.06,15.0,1.305,0
39,51052.09,15376.15,29.51,1,0.095,2,24819.43,19.71,0.301,1
56,58056.46,0.0,7.63,3,0.207,3,0.0,11.88,0.0,1
32,80269.69,14382.03,20.6,1,0.422,1,0.0,7.7,0.179,1
61,91032.5,20990.14,21.62,0,0.354,3,16715.79,12.68,0.231,1
39,86718.54,7278.08,18.42,1,0.353,2,19956.16,12.55,0.084,1
32,66083.96,8224.86,3.11,4,0.097,2,5332.4,14.0,0.124,1
29,77588.98,11444.89,20.47,2,0.445,1,7056.19,4.65,0.148,1
27,45909.14,32654.83,2.39,0,0.123,4,4877.69,9.0,0.711,1
48,63704.69,12154.1,18.09,3,0.654,2,3596.9,11.42,0.191,0
34,33791.62,35149.4,22.32,2,0.258,3,22321.95,15.51,1.04,1
51,61379.08,10620.59,6.72,1,0.434,2,0.0,5.99,0.173,1
39,61950.23,21900.17,25.33,0,0.226,1,10813.73,10.86,0.354,1
36,97886.83,12645.09,1.4,3,0.054,1,3135.97,5.26,0.129,1
25,54962.38,27049.0,25.39,3,0.186,0,0.0,7.0,0.492,1
55,61980.94,4580.71,14.08,2,0.317,1,24442.14,12.2,0.074,1
32,65213.15,26914.31,6.92,2,0.092,2,7762.1,5.62,0.413,1
45,49993.95,19366.43,4.45,1,0.758,2,16261.28,1.03,0.387,1
41,42345.16,10320.1,28.62,2,0.36,3,0.0,16.89,0.244,1
56,88573.85,16005.34,2.64,3,0.273,0,5096.73,5.37,0.181,1
43,38419.82,36406.26,6.37,0,0.577,2,23073.05,24.74,0.948,0
36,30785.8,19654.13,10.76,2,0.315,2,45047.26,13.34,0.638,1
59,74965.84,9567.26,18.8,0,0.491,1,0.0,7.22,0.128,1
65,85471.93,3543.68,16.57,3,0.15,1,11586.71,16.44,0.041,1
62,50068.99,24064.85,4.21,0,0.572,1,18947.37,6.88,0.481,1
59,50406.82,20350.14,9.05,4,0.182,3,6606.8,20.51,0.404,1
34,66215.96,26340.25,7.54,1,0.334,1,24194.26,7.71,0.398,1
51,44427.24,453.3,6.8,2,0.371,2,3599.21,24.71,0.01,1
25,42802.32,3932.87,12.63,1,0.609,1,15846.17,7.0,0.092,0
55,79351.04,31762.55,21.27,2,0.416,0,7735.14,21.11,0.4,1
43,73356.88,21976.1,6.91,2,0.511,3,28633.17,1.82,0.3,1
49,88845.5,24400.81,11.32,1,0.245,0,5883.63,8.71,0.275,1
63,32443.04,6447.76,12.03,1,0.541,0,9777.51,18.44,0.199,1
31,48945.83,6228.15,29.31,3,0.486,3,25348.27,13.0,0.127,1
38,66185.95,29895.1,28.66,1,0.169,0,1663.54,4.86,0.452,1
32,39636.34,30460.53,24.1,1,0.435,1,14825.0,8.91,0.769,1
29,74117.12,4940.17,7.63,4,0.201,1,0.0,6.59,0.067,1
30,86941.8,2647.55,2.51,0,0.39,0,944.8,12.0,0.03,1
64,47166.12,16696.88,9.85,2,0.704,0,18585.58,8.61,0.354,1
37,60849.02,8407.82,8.37,2,0.439,3,2111.63,7.73,0.138,1
58,92023.61,8157.88,15.42,1,0.425,1,7465.12,5.18,0.089,1
27,99583.97,2983.46,23.44,4,0.341,1,19917.04,9.0,0.03,1
33,76407.63,12378.79,25.82,2,0.372,0,7049.77,4.89,0.162,1
60,73055.44,4143.66,25.42,4,0.105,3,23874.1,24.06,0.057,1
62,41217.8,4855.19,11.11,1,0.265,1,16587.95,3.86,0.118,1
29,67902.61,21580.7,20.77,1,0.425,3,19228.2,11.0,0.318,1
47,72250.06,17337.62,9.73,5,0.143,2,28891.59,10.71,0.24,1
22,55371.86,23818.54,2.3,1,0.445,2,17837.88,4.0,0.43,1
25,46914.92,0.0,21.2,1,0.419,0,32466.17,5.78,0.0,1
49,31811.45,18118.57,0.79,1,0.125,1,24935.15,15.89,0.57,1
57,21769.95,42907.65,12.57,2,0.582,1,7718.57,17.14,1.971,0
58,17146.56,13532.73,10.22,2,0.115,0,29517.78,11.69,0.789,1
39,72747.74,27896.99,20.95,3,0.23,5,17166.39,1.39,0.383,1
28,63249.39,27792.08,23.1,2,0.194,0,9263.84,10.0,0.439,1
65,49356.16,28382.38,9.47,3,0.261,4,17340.63,24.51,0.575,1
21,52707.96,19999.94,24.44,3,0.28,0,27347.92,3.0,0.379,1
42,64630.35,24793.03,9.17,4,0.548,0,19460.54,15.34,0.384,0
37,56379.61,26388.16,13.67,1,0.488,0,35868.71,11.26,0.468,0
27,30507.83,25625.35,21.95,2,0.616,0,27038.37,8.05,0.84,1
45,80086.0,4590.98,20.94,2,0.209,1,20277.92,1.93,0.057,1
65,66690.78,0.0,29.63,1,0.287,0,1687.18,11.4,0.0,1
24,65849.77,0.0,7.14,0,0.049,1,11843.21,6.0,0.0,1
56,78426.38,14758.08,20.04,1,0.087,1,14859.97,0.43,0.188,1
26,42099.8,25127.12,18.49,2,0.405,2,22359.58,8.0,0.597,0
51,86702.09,4747.06,27.5,3,0.677,0,21648.0,22.02,0.055,1
39,56919.06,29087.65,5.11,2,0.22,3,16034.48,5.44,0.511,1
64,79549.18,11972.7,22.68,1,0.716,3,15444.2,4.58,0.151,1
59,76157.88,12086.94,17.26,1,0.133,3,22645.48,19.31,0.159,1
47,37146.36,7966.72,8.6,0,0.274,1,3696.97,6.38,0.214,1
30,71063.81,0.0,14.5,2,0.231,1,34346.19,4.8,0.0,1
46,67178.04,20751.77,10.35,2,0.329,1,0.0,9.45,0.309,1
39,60666.86,38552.01,17.59,1,0.455,1,31464.91,9.81,0.635,1
59,57923.82,17248.03,26.73,2,0.233,2,13457.77,21.85,0.298,1
23,58110.35,0.0,17.29,1,0.852,2,26030.96,5.0,0.0,1
65,77879.17,27364.11,19.14,1,0.486,1,18366.09,10.15,0.351,1
33,72714.03,0.0,15.8,1,0.154,0,18152.41,13.36,0.0,1
48,60670.53,3491.59,2.01,2,0.142,3,20651.05,23.85,0.058,1
40,27177.4,15139.94,7.37,4,0.405,2,23708.65,2.83,0.557,1
48,70877.76,19474.12,15.01,2,0.062,1,10054.03,5.19,0.275,1
28,75919.5,5896.03,9.65,1,0.669,0,26417.59,10.0,0.078,1
61,110609.02,14672.21,5.86,0,0.462,2,986.35,23.93,0.133,1
59,83659.53,26581.95,15.37,1,0.372,0,13936.03,4.43,0.318,1
21,18218.12,28226.15,10.02,4,0.264,2,24031.64,3.0,1.549,0
23,61725.45,33017.48,8.11,5,0.363,4,25940.21,5.0,0.535,0
33,99850.25,40913.02,14.19,1,0.344,1,19529.47,1.24,0.41,1
48,73718.07,27718.67,4.43,1,0.654,2,9279.29,16.37,0.376,1
45,67230.35,15399.16,27.87,4,0.274,1,24760.49,1.94,0.229,1
53,79805.03,28311.77,26.1,2,0.147,0,5967.61,1.45,0.355,1
58,46307.68,23600.59,21.37,3,0.218,6,35016.91,12.13,0.51,1
26,70517.98,24076.4,3.63,3,0.382,0,12983.95,8.0,0.341,1
64,54489.7,20126.63,23.39,2,0.305,2,0.0,10.67,0.369,1
65,59568.28,7055.35,24.33,1,0.198,3,0.0,8.91,0.118,1
52,78226.0,5662.84,23.15,2,0.152,2,14523.72,24.95,0.072,1
65,39612.31,16834.58,3.86,2,0.349,1,15677.9,13.3,0.425,1
41,88335.61,19786.92,19.5,0,0.23,0,37635.88,9.38,0.224,1
36,50698.14,9846.71,25.11,3,0.25,1,1538.01,9.65,0.194,1
41,65734.58,23080.1,17.53,3,0.449,2,14473.55,4.87,0.351,1
31,29188.82,42969.19,19.57,0,0.213,2,1286.94,12.81,1.472,0
57,75836.42,0.0,14.02,3,0.458,1,8088.14,10.97,0.0,1
56,91823.09,24986.93,16.1,0,0.54,3,34207.66,6.77,0.272,1
55,48677.89,17208.3,1.51,3,0.418,1,363.97,4.01,0.354,0
39,35575.09,23407.87,19.35,0,0.123,1,21044.51,7.78,0.658,1
40,66115.63,12831.42,2.9,2,0.329,0,18714.89,12.72,0.194,1
38,92005.83,16247.28,13.33,1,0.361,3,13709.94,1.46,0.177,1
61,28103.16,19554.01,9.13,1,0.385,6,20233.24,3.84,0.696,0
34,35661.22,14380.39,16.59,2,0.135,4,79.76,16.0,0.403,1
35,50007.83,0.0,4.44,2,0.527,2,33875.87,13.57,0.0,0
51,41952.44,15193.02,20.9,2,0.644,1,37098.15,1.59,0.362,1
21,42021.92,1002.8,23.95,2,0.137,0,14565.26,3.0,0.024,1
23,15000.0,25838.32,5.32,1,0.187,0,43077.27,1.55,1.723,0
36,72959.25,0.0,3.58,2,0.278,2,9211.66,18.0,0.0,1
43,67451.85,30343.85,4.79,3,0.152,4,18805.18,18.75,0.45,1
31,22625.32,23154.76,26.38,2,0.082,1,31182.67,13.0,1.023,1
32,92058.31,23200.66,16.08,1,0.566,2,8491.95,14.0,0.252,1
30,96984.03,0.0,14.28,0,0.134,1,0.0,2.2,0.0,1
52,43480.08,14056.81,3.65,0,0.703,2,0.0,18.17,0.323,1
36,85664.07,31842.76,19.66,0,0.125,0,38729.92,3.42,0.372,1
28,47394.05,11776.7,26.11,0,0.521,2,7651.7,8.49,0.248,1
58,63984.56,5063.25,24.93,2,0.055,2,11771.16,23.57,0.079,1
32,41613.23,10359.96,18.97,2,0.301,2,646.83,12.57,0.249,0
44,108713.53,17180.67,2.72,2,0.453,2,25380.07,24.19,0.158,1
48,53487.62,7783.55,3.82,1,0.237,1,4621.28,2.22,0.146,1
28,62781.88,32805.81,1.95,1,0.155,2,8104.84,10.0,0.523,1
48,44865.38,17223.99,8.1,2,0.134,0,17594.25,1.56,0.384,1
56,100948.94,11333.17,4.5,0,0.224,3,1231.45,15.76,0.112,1
46,101505.52,2383.88,8.17,1,0.675,5,11857.01,1.97,0.023,1
28,95880.44,23813.36,11.86,3,0.73,3,30826.52,4.38,0.248,1
48,81041.69,23540.0,28.32,0,0.196,1,19139.05,6.47,0.29,1
48,46254.63,8493.49,18.51,0,0.249,0,15566.51,18.72,0.184,1
57,78212.7,0.0,25.13,1,0.27,2,16578.38,4.1,0.0,1
61,59845.06,22929.15,21.46,1,0.418,0,9330.38,21.17,0.383,1
56,88872.99,15758.36,3.82,0,0.552,0,37953.83,3.3,0.177,1
47,84549.85,22032.85,22.21,2,0.798,2,4254.11,0.88,0.261,1
37,45716.16,41486.09,8.62,2,0.274,0,16531.11,9.88,0.907,1
29,80852.17,17678.02,19.35,2,0.494,2,15380.31,11.0,0.219,1
53,75004.76,11833.94,10.56,0,0.37,3,26105.15,2.76,0.158,0
40,15000.0,4232.14,29.93,3,0.392,1,27238.09,2.54,0.282,1
33,77620.61,14250.94,8.27,0,0.204,1,13615.77,15.0,0.184,1
48,50500.49,19926.93,8.73,2,0.318,3,17488.0,7.8,0.395,1
49,40507.07,18639.69,27.95,3,0.524,1,17942.42,17.93,0.46,1
33,41448.27,38681.58,1.23,4,0.461,5,0.0,5.0,0.933,0
55,57024.66,23989.03,21.05,2,0.473,2,0.0,11.5,0.421,1
26,70561.31,16382.39,21.9,1,0.476,5,6739.24,6.63,0.232,1
38,29959.84,9521.27,25.17,1,0.313,2,7260.82,11.29,0.318,1
25,64176.65,21200.07,29.25,5,0.578,4,0.0,7.0,0.33,1
45,72688.68,7115.9,29.28,3,0.211,2,22994.99,19.05,0.098,1
22,100959.73,20157.97,2.43,3,0.352,0,14025.42,4.0,0.2,1
30,36312.82,23848.97,24.74,1,0.305,4,11423.67,12.0,0.657,1
50,52308.53,15402.57,19.57,0,0.339,1,0.0,6.59,0.294,1
65,65756.59,10436.56,19.6,1,0.353,1,13465.46,6.01,0.159,1
25,85243.01,0.0,4.29,2,0.179,5,0.0,7.0,0.0,1
53,53307.07,31726.04,19.68,2,0.331,0,12044.52,15.53,0.595,1
21,86370.11,22839.6,29.48,0,0.41,2,14758.2,1.16,0.264,1
38,17378.03,23131.41,27.4,3,0.167,1,16902.98,15.19,1.331,0
52,32426.34,0.0,13.45,2,0.326,1,0.0,9.36,0.0,1
31,67670.18,34558.06,1.68,3,0.608,5,16697.8,13.0,0.511,0
41,28961.86,12417.4,11.19,3,0.414,2,1502.82,20.2,0.429,1
46,34161.65,14534.46,24.88,0,0.215,4,4250.36,13.8,0.425,1
45,48388.91,5168.56,21.19,3,0.195,1,22615.18,0.04,0.107,1
42,76971.66,0.0,14.05,1,0.404,3,38169.36,15.91,0.0,1
47,18288.77,31888.16,2.13,3,0.849,0,14616.31,18.72,1.744,0
33,63746.56,33439.17,13.09,3,0.237,0,4194.85,6.22,0.525,1
53,82725.21,16013.66,14.34,1,0.262,4,16264.05,11.62,0.194,0
54,55711.21,9847.39,27.89,1,0.332,1,25268.35,24.14,0.177,1
61,51885.73,13475.47,19.41,1,0.327,0,21451.97,7.45,0.26,0
55,68838.97,13804.62,9.69,2,0.303,3,46917.35,5.58,0.201,1
21,55773.56,3601.68,16.0,0,0.183,2,5415.95,3.0,0.065,1
41,90591.0,14492.94,2.45,2,0.273,2,17026.78,13.97,0.16,1
26,35548.91,19837.22,29.19,4,0.638,2,32587.02,8.0,0.558,1
48,58863.83,30217.89,11.12,1,0.369,3,31833.91,15.22,0.513,1
37,64525.1,18170.93,14.6,1,0.107,2,0.0,7.58,0.282,1
25,51674.01,0.0,10.98,1,0.44,0,13959.71,7.0,0.0,1
